Address,Amount
0x9fbb12ea7dc6de6503b35da4389db3aecf8e4282,48
0x5b0a9d1445392f1b9e739be8a48f72ff5029e927,1
0x4c09e512b5b8d1eada8fc07ef45406e4623d7fdd,27
0xcf143b0e9bcf524511d382684c63d786e41763b3,1
0x301ac3099ec0ac934e751dcec1a97cea2c33c94f,18
0x19dfdc194bb5cf599af78b1967dbb3783c590720,9
0x97809018df52cd51b3f7183a7bc2f7b097410e25,22
0xdf974829f6d977370b21e065ae445390cb9d010c,14
0xef5e0c0d4829f310aa649576a4f382fdc67b1f2b,1
0x37f993a408e3bc31bd7483b3cd422e135c4f988f,7
0xe3446087cf205fb4188b733cfc3a72789316dfdd,11
0x822ee635aea13af0fd00510d0cea3f535e77e0f9,16
0x9d576ac210f3d07a3302d1eaf171663ad8fc8ee2,2
0xe89f71e91dafec474ae97b8baa53029b30a5e9ec,15
0x86a15feb3da784aacd0d57e119f43c114db64fe6,2
0xdd08023fa5650fee24caabf8649f5cd92cff9ed7,4
0x8cf50f0b580300d4b350380c00b68a98dba5b43b,1
0xd2a13231efe9e114fa039d6ec7a008b6a645c2ca,1
0xb6ab9ea5e00c6ea7dbe73dafa68a89882b543730,10
0x119b6e5286bc1aea49530d9e88f38b2916ece24c,9
0x98b009e4f99f212b8c9f6ccbc159af5dc19b4960,13
0x335750d1a6148329c3e2bcd18671cd594d383f9b,90
0xef9b5ba358ff96063af543c35c027a3d4c238c67,31
0xc8312f842c20bfc59301cb6fe0e7683a9107fded,19
0xf16688ea2488c0d41a13572a7399e03069d49a1a,17
0x8f8535a63c308c8fb2685c39fb5adf390bea86d1,6
0x4103a69d709b9a9b4d2c50306f513fe9fc4a8995,30
0x832f8d456de30373cc9d1acbd9b7b079baf521b2,23
0x90518f0cd466eb95afebea9e1e970eea1dcf587b,20
0xeb432905497d9ed2f0a8a9aac9053a0108746c1a,15
0x8e3d6c8f591d73ebcf79810ebc4b3adf829d2fb6,35
0xbebae7cfc138be7547ff7c7eef7dbdb25c64112d,6
0x1db578913a7d9d8db026bae54ddc9aea7e5a05cf,3
0xc77d249809ae5a118eef66227d1a01a3d62c82d4,1
0x92b39e4c14a00a3fb4f0a347237b35236684b458,2
0xfcfa2a68d480dd9dc4c203e0419e610eddf28242,13
0xc1fa63bd4189a9c49a30010b6a3ab11194a95842,37
0x4ddaf2f5f89f00010b5bd1a7ebffb4b0fee4cb4b,3
0xc9e75e27899b3dd34c04e466e8653e79ecd6d23d,7
0x0262408c46374f9a04cac192f61277eadc16103f,2
0x5fc261a00329084bae5738b586a13e903ed8da1b,1
0xdb18957be8fb364e2f293e7ca6e689dc55991688,6
0x4a228f14d2130e8e4636418b52aaf3d6b4e887d3,5
0x60559b4cc92292b589ded75295f5331adcc69e04,4
0xc3f71d25b5b15a6bc0d1b233c23e2ae31334fa6f,2
0xfabeba797c80f901e4f00d547fee6d645141c94f,5
0x6a191c11fbf567bb19f554393662da80d269be91,14
0xcc6b139279b60f53386dc98d51e5f7aaf8e5ac4d,1
0xbc191920f303f7616fff4a8a8a24896c35b0c7da,9
0x29a031f1f19a04f341bc941fc84c093f22334a9c,19
0xe95c621e026c605b80f51fe02cccbfa389689c6a,13
0xce312e4d297fed6c41630dffb6f0463710190a9e,3
0x6493ba524e019eb6cc987b5da319b91dee8b6a7c,2
0x921442bc938dba03c841a20d4955177e65d10090,6
0x4b2c52444c5e50ccbde0d410af47ff9ab5008f85,3
0x0b70cc5adaea9b0ff501462aca230977ac98a37f,11
0x0a3db8ec24e955ef327dc370cf502c08eed8e192,11
0x38aa2684781ad05d8b382bfa7c0c66fa8ebcd4f5,27
0x01ab4a84d25d6cf4c944d3439199a174383c970d,1
0x4e51f68940fac327b2f018b6b79109031031fe8b,11
0xc67480c97d15c55cd71e541914b2baf5a5ec2130,1
0xd2d0b309132344bda0c75032d794b1da8d6144a6,1
0x34606e4d14bfda85c5f8314931c833755fb964df,20
0x6815103d4df3a329374b838d9316c1889064fae7,1
0x4540cf740af9b51eeb2e28c9587906b8b1df3d25,50
0x9b2587f78a73a1070f45e622f1598c2c115cb972,5
0xa2dd06fa23544f0760eac3e2ccb55e4a1f7a50f8,1
0xf0cdb2de342184d43bf7a457a3391eb34f9e56a7,3
0x5cbf3dc9ec8694e29f85505be9ed39cf07081cb1,14
0xcf7e20d25b3624ad7e6e2feb248fc058b77a5272,4
0x5ac382be2292acf0fa7d8bcb7d36f1185b06dfd1,2
0x9da0f35bfd20001d3e8ba4ca13040069a9529d4d,1
0x3ac763ddff77de7eaf143908cbdeaeac2a55dc0f,1
0x857f58b6afde4bcbe9b86409242c146f0d0de31c,9
0x5eccafb30192ef6bcdcdc63ef1f779cb4aa2a061,1
0xfab55a4aaadc42cfde36ef9acc4e1ec1a73dd4cf,1
0x3aff5ae7a64450f96425c90c4ba928b9db8fbfc3,1
0x86c6043a8d331d4cb24faca1e18638f14d651520,6
0xfc961534a0a55b925db2c5ee546c8a019c0d78d5,5
0x4101e0c0989eae6a240fb61256a782afe67373f2,1
0x535fbdca6b64121e393ca0f90037c209269380bd,4
0x5f2cbc511ef0a92a473943672a7a97028ababc29,1
0xd58ee1c9914c0dbd045e0929b01c97f2061db42c,1
0x33dcde3a53d901a39c0621f662065607ccd56b4a,14
0xc913065b539208507ecea3da3898f97fe10bcb28,1
0x549287e6465428408dac7c5fb0c106dbff1efe85,2
0x9da579b20cd241731c3594d45c5cbc2bbc081d0a,14
0x513aedace44cc9a0724ca276a8ceeee950903576,5
0x78fd06a971d8bd1ccf3ba2e16cd2d5ea451933e2,14
0x5364030b7e8b2276fc04b97beb71bd699a71c419,1
